	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30
ASV182	0	32	26	22	0	0	0	67	15	0	16	124	0	15	25	34	104	0	10	115	0	0	0	0	0	0	0	0	0	0
ASV183	0	9	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	558	20	0	0	0	0	0	0	0	0	12	0	0
ASV184	14	0	0	11	0	0	0	26	0	0	56	0	8	7	8	16	0	20	18	0	98	105	0	8	10	128	43	0	25	0
ASV185	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	559	0	0	0	2	0	0	3	0
ASV186	5	0	0	24	0	10	0	24	2	0	0	0	6	6	0	16	0	16	14	0	67	120	9	29	11	136	63	11	27	0
ASV187	0	0	71	22	0	0	0	131	75	0	21	12	8	0	0	17	63	0	5	0	0	0	7	39	0	0	0	107	13	0
ASV188	22	24	0	0	0	27	0	0	0	0	34	34	0	0	34	28	52	0	1	0	43	84	0	0	97	68	38	0	3	0
ASV189	0	0	0	5	0	0	0	7	3	0	0	0	0	0	0	13	0	0	0	0	75	59	0	0	131	117	178	0	0	0
ASV190	60	66	3	2	117	168	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV191	0	0	0	0	0	25	0	6	0	0	9	21	0	0	25	35	105	4	21	0	36	229	0	4	28	10	26	0	0	0
ASV192	32	2	12	4	0	20	0	5	10	0	27	18	8	17	9	27	0	0	19	0	78	88	0	35	63	0	75	21	0	10
ASV193	6	0	0	2	0	0	0	4	2	0	11	3	2	0	2	9	0	2	11	0	90	36	0	12	162	130	68	11	15	0
ASV194	0	0	0	0	0	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV195	0	0	12	4	0	0	0	0	0	0	29	0	41	0	0	0	0	30	347	0	0	0	0	63	0	0	0	44	0	0
ASV196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0
