"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_6745","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA
"ASV_6746","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"ASV_6747","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA
"ASV_6748","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV_6749","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA,NA
"ASV_6750","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","LiUU-11-161",NA,NA
"ASV_6751","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV_6752","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia",NA
"ASV_6753","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA,NA
"ASV_6754","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA
"ASV_6755","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42",NA
"ASV_6756","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","odorifer"
"ASV_6757","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA,NA
"ASV_6758","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",NA
"ASV_6759","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV_6760","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA
"ASV_6761","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","Rubrivirga",NA
"ASV_6762","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV_6763","Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA,NA
"ASV_6764","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible genus 04",NA
"ASV_6765","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA
"ASV_6766","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV_6767","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA
