"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_3931","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3932","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3933","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_3934","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3935","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3936","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3937","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3938","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Ascosphaerales","f__Ascosphaeraceae","g__Ascosphaera","s__celerrima"
"ASV_3939","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Bullera","s__unica"
"ASV_3940","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium",NA
"ASV_3941","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","s__minimum"
"ASV_3942","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Lapidomyces",NA
"ASV_3943","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_3944","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_3945","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_3946","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3947","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudeurotiaceae_gen_Incertae_sedis",NA
"ASV_3948","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__rubella"
"ASV_3949","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiaceae","g__Myrmecridium","s__juncigenum"
"ASV_3950","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__babinda"
"ASV_3951","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Trichomerium","s__flexuosum"
"ASV_3952","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium",NA
"ASV_3953","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Oxyporaceae","g__Oxyporus","s__piceicola"
"ASV_3954","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3955","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_3956","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_3957","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3958","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Bambusicolaceae","g__Corylicola","s__italica"
"ASV_3959","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Teunia","s__cuniculi"
"ASV_3960","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3961","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_3962","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Ascosphaerales","f__Ascosphaeraceae","g__Ascosphaera","s__naganensis"
"ASV_3963","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"ASV_3964","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryobasidium","s__candicans"
"ASV_3965","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA
"ASV_3966","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3967","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3968","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Moesziomyces","s__aphidis"
"ASV_3969","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3970","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3971","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_3972","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_3973","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3974","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_3975","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3976","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_3977","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3978","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3979","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3980","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3981","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3982","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3983","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"ASV_3984","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3985","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3986","k__Fungi",NA,NA,NA,NA,NA,NA
